report_date,country,region,tier,rank,game,provider,source_report
2026-07-24,Argentina,LATAM,Tier 2,15,Congo Cash,Pragmatic Play,Tier2_Top15_24_07_Blask_iGamingNews.pdf
2026-06-26,Argentina,LATAM,Tier 2,1,Buffalo King Megaways,Pragmatic Play,Tier2_Top15_26_06_Blask_iGamingNews.pdf
2026-06-26,Argentina,LATAM,Tier 2,2,5 Lions Megaways,Pragmatic Play,Tier2_Top15_26_06_Blask_iGamingNews.pdf
2026-06-26,Argentina,LATAM,Tier 2,3,Joker’s Jewels,Pragmatic Play,Tier2_Top15_26_06_Blask_iGamingNews.pdf
2026-06-26,Argentina,LATAM,Tier 2,4,Gold Party,Wild Streak Gaming,Tier2_Top15_26_06_Blask_iGamingNews.pdf
2026-06-26,Argentina,LATAM,Tier 2,5,Sweet Argentina,Pragmatic Play,Tier2_Top15_26_06_Blask_iGamingNews.pdf
2026-06-26,Argentina,LATAM,Tier 2,6,Congo Cash,Pragmatic Play,Tier2_Top15_26_06_Blask_iGamingNews.pdf
2026-06-26,Argentina,LATAM,Tier 2,7,First Person Roulette,Evolution,Tier2_Top15_26_06_Blask_iGamingNews.pdf
2026-06-26,Argentina,LATAM,Tier 2,8,Gates of Olympus,Pragmatic Play,Tier2_Top15_26_06_Blask_iGamingNews.pdf
2026-06-26,Argentina,LATAM,Tier 2,9,Starlight Princess,Pragmatic Play,Tier2_Top15_26_06_Blask_iGamingNews.pdf
2026-06-26,Argentina,LATAM,Tier 2,10,First Person Blackjack,Evolution,Tier2_Top15_26_06_Blask_iGamingNews.pdf
2026-06-26,Argentina,LATAM,Tier 2,11,Sweet Bonanza,Pragmatic Play,Tier2_Top15_26_06_Blask_iGamingNews.pdf
2026-06-26,Argentina,LATAM,Tier 2,12,100 Golden Coins,Amusnet,Tier2_Top15_26_06_Blask_iGamingNews.pdf
2026-06-26,Argentina,LATAM,Tier 2,13,Spin & Score Megaways,Pragmatic Play,Tier2_Top15_26_06_Blask_iGamingNews.pdf
2026-06-26,Argentina,LATAM,Tier 2,14,Kemet’s Treasures,Amusnet,Tier2_Top15_26_06_Blask_iGamingNews.pdf
2026-06-26,Argentina,LATAM,Tier 2,15,Parthenon: Quest for Immortality,NetEnt,Tier2_Top15_26_06_Blask_iGamingNews.pdf
